mz,exp_int,the_int,annotation,HNas
247.9998016357422,0.0565,0.2917472100676007,"[(7, 3)]","[[4, 0]]"
248.4947967529297,0.1202,0.0,[],[]
248.4998016357422,2.2077,0.037820070749114656,"[(7, 3)]","[[4, 0]]"
248.74549865722656,0.6833,0.0,[],[]
248.99459838867188,0.5028,0.0,[],[]
249.4945068359375,0.5681,0.0,[],[]
252.99740600585938,0.3972,0.0,[],[]
253.2480926513672,0.1111,0.0,[],[]
253.4986,0.1134,0.0,[],[]
253.9947,1.1229,0.0,[],[]
254.2429962158203,0.491,0.0,[],[]
254.49209594726562,0.2522,0.0,[],[]
254.99200439453125,0.27,0.0,[],[]
258.0025939941406,0.1125,0.0,[],[]
258.4949035644531,1.3072,0.0,[],[]
258.74560546875,0.2201,0.0,[],[]
258.96649169921875,0.0618,0.0,[],[]
258.996,0.1674,0.0,[],[]
262.98651123046875,1.8921,0.0,[],[]
263.2372131347656,0.1419,0.0,[],[]
263.4862976074219,0.3114,0.0,[],[]
263.7367858886719,0.15,0.0,[],[]
263.9861145019531,0.0735,0.0,[],[]
264.38238525390625,0.0551,0.0,[],[]
265.49468994140625,0.0792,0.0,[],[]
267.9888916015625,0.2286,0.0,[],[]
268.239501953125,0.1046,0.0,[],[]
268.4864,4.5562,2.544869281039185,"[(28, 7)]","[[5, 1]]"
268.7347106933594,1.3819,0.823149090176681,"[(28, 7)]","[[5, 1]]"
268.98370361328125,0.7998,0.8762315114047738,"[(28, 7)]","[[5, 1]]"
269.23431396484375,0.4641,0.25017922529239045,"[(28, 7)]","[[5, 1]]"
269.2481994628906,0.2944,0.0,[],[]
269.4834899902344,0.0929,0.13551857000590622,"[(28, 7)]","[[5, 1]]"
272.9866027832031,0.1893,0.0,[],[]
273.7369079589844,0.054,0.0,[],[]
273.9838,10.6251,8.578907949988716,"[(28, 8)]","[[6, 2]]"
274.2320861816406,3.152,2.7748852667430874,"[(28, 8)]","[[6, 2]]"
274.481201171875,3.0392,2.953829312659811,"[(28, 8)]","[[6, 2]]"
274.731689453125,0.6873,0.8433692688162318,"[(28, 8)]","[[6, 2]]"
274.9809875488281,0.4997,0.45684127914029,"[(28, 8)]","[[6, 2]]"
277.03118896484375,0.2167,0.0,[],[]
278.4841003417969,0.2525,0.0,[],[]
278.9837951660156,0.073,0.0,[],[]
279.4813,11.9905,9.00103307735178,"[(28, 9)]","[[7, 3]]"
279.7210998535156,3.3933,0.0,[],[]
279.9786071777344,3.4915,3.099172470796496,"[(28, 9)]","[[7, 3]]"
280.22918701171875,0.8201,0.884867249921579,"[(28, 9)]","[[7, 3]]"
280.4783935546875,0.6302,0.47932015223998947,"[(28, 9)]","[[7, 3]]"
283.98150634765625,0.3113,0.0,[],[]
284.9811096191406,0.0848,0.0,[],[]
288.9866943359375,0.0658,0.0,[],[]
289.48651123046875,0.0748,0.0,[],[]
289.98638916015625,0.1254,0.0,[],[]
292.9757995605469,0.0649,0.0,[],[]
294.48419189453125,0.1349,0.0,[],[]
294.7348937988281,0.109,0.0,[],[]
295.4837951660156,0.077,0.0,[],[]
298.9729919433594,0.1397,0.0,[],[]
299.0133056640625,0.2838,0.0,[],[]
299.0315856933594,0.1441,0.0,[],[]
304.97021484375,0.2567,0.0,[],[]
315.472900390625,0.0687,0.0,[],[]
319.0116,0.0548,0.0,[],[]
323.95989990234375,0.1076,0.0,[],[]
324.33221435546875,0.1376,0.0,[],[]
326.3432922363281,0.0718,0.0,[],[]
331.662109375,0.1111,0.0,[],[]
338.9954,0.133,0.0,[],[]
344.99560546875,0.0814,0.0,[],[]
346.3276,0.4743,0.0,[],[]
346.65631103515625,0.3281,0.0,[],[]
346.9884033203125,0.1554,0.0,[],[]
347.322509765625,0.0846,0.0,[],[]
352.6597900390625,0.0678,0.0,[],[]
365.6475,0.4704,0.0,[],[]
365.9786071777344,0.1563,0.0,[],[]
366.3106994628906,0.1174,0.0,[],[]
372.314208984375,0.06,0.0,[],[]
372.9774,2.687,0.8056339338953062,"[(28, 13)]","[[6, 3]]"
373.3085021972656,0.7826,0.26058581658488367,"[(28, 13)]","[[6, 3]]"
373.6405944824219,0.6004,0.27739021599089686,"[(28, 13)]","[[6, 3]]"
373.974609375,0.2506,0.07919969601302489,"[(28, 13)]","[[6, 3]]"
374.3070068359375,0.1598,0.042901362157643806,"[(28, 13)]","[[6, 3]]"
377.072998046875,0.0533,0.0,[],[]
380.3073,7.2192,5.280665321703792,"[(28, 14)]","[[7, 4]]"
380.63848876953125,2.5108,1.708054275115083,"[(28, 14)]","[[7, 4]]"
380.9704895019531,1.7394,1.8182015832930494,"[(28, 14)]","[[7, 4]]"
381.3045959472656,0.726,0.5191279446277793,"[(28, 14)]","[[7, 4]]"
381.63690185546875,0.1519,0.28120431112471655,"[(28, 14)]","[[7, 4]]"
384.3064880371094,0.0672,0.0,[],[]
385.9856872558594,0.2382,0.0,[],[]
389.0712,0.3261,0.0,[],[]
390.0745849609375,0.0723,0.0,[],[]
398.3100891113281,0.882,0.0,[],[]
419.9678039550781,0.0596,0.0,[],[]
420.9560852050781,0.1313,0.0,[],[]
448.05059814453125,0.0714,0.0,[],[]
530.9899,0.2692,0.0,[],[]
570.9647,0.2264,0.0,[],[]
581.9595,2.04,0.3490307315560336,"[(28, 20)]","[[7, 5]]"
582.4561767578125,0.7705,0.11289551540609236,"[(28, 20)]","[[7, 5]]"
582.9542846679688,0.8902,0.12017580931039898,"[(28, 20)]","[[7, 5]]"
583.4553833007812,0.2041,0.03431226848251632,"[(28, 20)]","[[7, 5]]"
615.9425048828125,0.079,0.0,[],[]
998.089111328125,0.0731,0.0,[],[]
1080.0147705078125,0.0766,0.0,[],[]
